file_id	case_id
1f40b3db-3351-4dbc-8560-5c5b6a0e0def	TCGA-CQ-A4C6
ec1c8dbd-035e-4e68-a22f-1e0f9563f414	TCGA-CV-6937
cc8ebbe0-d89a-4f78-87cf-660e27df4d10	TCGA-BA-A6DD
ce1ec969-4bdb-40a0-b9cb-0fe04498f29a	TCGA-CN-5366
044de6e3-52f7-493c-b8d2-6aeca52375ea	TCGA-CN-4737
8ed43daa-0118-4481-9e7e-71c4b709b626	TCGA-CN-4730
80757185-4699-4dc0-a39d-5da6b97005f7	TCGA-CN-6016
6931c961-ab7c-49a7-ba4f-d1a91de1d106	TCGA-DQ-7594
3706e408-1107-49d5-a526-5746c0e581ae	TCGA-P3-A5Q6
5b127b97-b493-47be-8a83-bc534733213e	TCGA-CN-4727
